dp_name,dp_id,c1,c2,c3,c4,c5,c6,c7
Display.Ads.Campaign features,1119,Display,,,Ads,Campaign features,,Read
Update.Ads.Campaign features,1120,Update,,,Ads,Campaign features,,ReadWrite
Read.Ads.Campaign features,1121,Read,,,Ads,Campaign features,,Read
Create.Ads.Campaign features,1122,Create,,,Ads,Campaign features,,ReadWrite
Delete.Ads.Campaign features,1123,Delete,,,Ads,Campaign features,,ReadWrite
Read.tweet.geolocation,1124,Read,,,tweet,geolocation,,Read
Delete.tweet.metadata,1125,Delete,,,tweet,metadata,,ReadWrite
Read.End User.Name,1126,Read,,,End User,Name,,Read
Read.End User.handle,1127,Read,,,End User,handle,,Read
Read.End User.profile,1128,Read,,,End User,profile,,Read
Read.End User.media,1129,Read,,,End User,media,,Read
Read.End User.FollowedUsers,1130,Read,,,End User,FollowedUsers,,Read
Read.End User.FollowedAccounts,1131,Read,,,End User,FollowedAccounts,,Read
Read.End User.FollowingUsers,1132,Read,,,End User,FollowingUsers,,Read
Read.End User.FollowingAccounts,1133,Read,,,End User,FollowingAccounts,,Read
Read.End User.flag (IsProtected),1134,Read,,,End User,flag (IsProtected),,Read
Update.End User.Name,1135,Update,,,End User,Name,,ReadWrite
Update.End User.handle,1136,Update,,,End User,handle,,ReadWrite
Update.End User.flag (IsProtected),1137,Update,,,End User,flag (IsProtected),,ReadWrite
Update.End User.FollowingUsers,1138,Update,,,End User,FollowingUsers,,ReadWrite
Update.End User.FollowingAccounts,1139,Update,,,End User,FollowingAccounts,,ReadWrite
Delete.End User.Name,1140,Delete,,,End User,Name,,ReadWrite
Delete.End User.handle,1141,Delete,,,End User,handle,,ReadWrite
Delete.End User.FollowingUsers,1142,Delete,,,End User,FollowingUsers,,ReadWrite
Delete.End User.FollowingAccounts,1143,Delete,,,End User,FollowingAccounts,,ReadWrite
Delete.BusinessAccount.Subscription,1144,Delete,,,BusinessAccount,Subscription,,ReadWrite
Read.BusinessAccount.Subscription,1145,Read,,,BusinessAccount,Subscription,,Read
Delete.BusinessAccount.Rule,1146,Delete,,,BusinessAccount,Rule,,ReadWrite
Read.BusinessAccount.Rule,1147,Read,,,BusinessAccount,Rule,,Read
Read.Tweet.reply,1148,Read,,,Tweet,reply,,Read
Read.Tweet.retweet,1149,Read,,,Tweet,retweet,,Read
Read.Tweet.Like,1150,Read,,,Tweet,Like,,Read
Read.Tweet.media,1151,Read,,,Tweet,media,,Read
Read.Tweet.text,1152,Read,,,Tweet,text,,Read
Delete.AdsAccount.media url,1153,Delete,,,AdsAccount,media url,,ReadWrite
Read.End User.timestamp,1154,Read,,,End User,timestamp,,Read
Read.End User.Biodata,1155,Read,,,End User,Biodata,,Read
Read.End User.ID,1156,Read,,,End User,ID,,Read
Read.End User.Location,1157,Read,,,End User,Location,,Read
Read.End User.IsProtected,1158,Read,,,End User,IsProtected,,Read
Read.End User.IsVerified,1159,Read,,,End User,IsVerified,,Read
Read.End User.IsVisible,1160,Read,,,End User,IsVisible,,Read
Read.End User.geolocation,1161,Read,,,End User,geolocation,,Read
Read.End User.Engagements,1162,Read,,,End User,Engagements,,Read
Read.Tweet.URL,1163,Read,,,Tweet,URL,,Read
Read.Tweet.Hashtag,1164,Read,,,Tweet,Hashtag,,Read
